unixtime,datetime,order_sheet,box,item
1634869295000,2021-10-22 11:21:35+09:00,DEN010001,BOX20,ITEM312
1634869422000,2021-10-22 11:23:42+09:00,DEN010002,BOX19,ITEM101
1634869595000,2021-10-22 11:26:35+09:00,DEN010003,BOX18,ITEM202
1634869602000,2021-10-22 11:26:42+09:00,DEN010003,BOX18,ITEM212
1634869603000,2021-10-22 11:26:43+09:00,DEN010003,BOX18,ITEM215
1634869604000,2021-10-22 11:26:44+09:00,DEN010003,BOX18,ITEM217
1634869819000,2021-10-22 11:30:19+09:00,DEN010004,BOX17,ITEM208
1634870037000,2021-10-22 11:33:57+09:00,DEN010005,BOX16,ITEM226
1634870038000,2021-10-22 11:33:58+09:00,DEN010005,BOX16,ITEM104
1634870039000,2021-10-22 11:33:59+09:00,DEN010005,BOX16,ITEM206
1634870041000,2021-10-22 11:34:01+09:00,DEN010005,BOX16,ITEM211
1634870184000,2021-10-22 11:36:24+09:00,DEN010006,BOX15,ITEM207
1634870185000,2021-10-22 11:36:25+09:00,DEN010006,BOX15,ITEM107
1634870308000,2021-10-22 11:38:28+09:00,DEN010007,BOX14,ITEM219
1634870455000,2021-10-22 11:40:55+09:00,DEN010008,BOX13,ITEM404
1634870660000,2021-10-22 11:44:20+09:00,DEN010009,BOX12,ITEM305
1634870663000,2021-10-22 11:44:23+09:00,DEN010009,BOX12,ITEM303
1634870665000,2021-10-22 11:44:25+09:00,DEN010009,BOX12,ITEM310
1634870668000,2021-10-22 11:44:28+09:00,DEN010009,BOX12,ITEM311
1634870823000,2021-10-22 11:47:03+09:00,DEN010010,BOX11,ITEM307
1634870824000,2021-10-22 11:47:04+09:00,DEN010010,BOX11,ITEM216
1634870936000,2021-10-22 11:48:56+09:00,DEN010011,BOX10,ITEM301
1634871091000,2021-10-22 11:51:31+09:00,DEN010012,BOX09,ITEM306
1634871092000,2021-10-22 11:51:32+09:00,DEN010012,BOX09,ITEM201
1634871093000,2021-10-22 11:51:33+09:00,DEN010012,BOX09,ITEM224
1634871201000,2021-10-22 11:53:21+09:00,DEN010013,BOX08,ITEM302
1634871379000,2021-10-22 11:56:19+09:00,DEN010014,BOX07,ITEM403
1634871380000,2021-10-22 11:56:20+09:00,DEN010014,BOX07,ITEM309
1634871382000,2021-10-22 11:56:22+09:00,DEN010014,BOX07,ITEM401
1634871525000,2021-10-22 11:58:45+09:00,DEN010015,BOX06,ITEM601
1634871670000,2021-10-22 12:01:10+09:00,DEN010016,BOX05,ITEM214
1634871671000,2021-10-22 12:01:11+09:00,DEN010016,BOX05,ITEM213
1634871673000,2021-10-22 12:01:13+09:00,DEN010016,BOX05,ITEM210
1634871824000,2021-10-22 12:03:44+09:00,DEN010017,BOX04,ITEM220
1634871825000,2021-10-22 12:03:45+09:00,DEN010017,BOX04,ITEM308
1634871934000,2021-10-22 12:05:34+09:00,DEN010018,BOX03,ITEM103
1634872066000,2021-10-22 12:07:46+09:00,DEN010019,BOX02,ITEM402
1634872169000,2021-10-22 12:09:29+09:00,DEN010020,BOX01,ITEM222
