unixtime,datetime,order_sheet,box,item
1634879760000,2021-10-22 14:16:00+09:00,DEN030001,BOX01,ITEM211
1634879761000,2021-10-22 14:16:01+09:00,DEN030001,BOX01,ITEM215
1634879871000,2021-10-22 14:17:51+09:00,DEN030002,BOX02,ITEM224
1634879958000,2021-10-22 14:19:18+09:00,DEN030003,BOX03,ITEM105
1634880059000,2021-10-22 14:20:59+09:00,DEN030004,BOX04,ITEM214
1634880157000,2021-10-22 14:22:37+09:00,DEN030005,BOX05,ITEM303
1634880261000,2021-10-22 14:24:21+09:00,DEN030006,BOX06,ITEM225
1634880396000,2021-10-22 14:26:36+09:00,DEN030007,BOX07,ITEM103
1634880399000,2021-10-22 14:26:39+09:00,DEN030007,BOX07,ITEM306
1634880521000,2021-10-22 14:28:41+09:00,DEN030008,BOX08,ITEM401
1634880626000,2021-10-22 14:30:26+09:00,DEN030009,BOX09,ITEM108
1634880765000,2021-10-22 14:32:45+09:00,DEN030010,BOX10,ITEM223
1634880766000,2021-10-22 14:32:46+09:00,DEN030010,BOX10,ITEM104
1634880767000,2021-10-22 14:32:47+09:00,DEN030010,BOX10,ITEM226
1634880897000,2021-10-22 14:34:57+09:00,DEN030011,BOX11,OEM106
1634880899000,2021-10-22 14:34:59+09:00,DEN030011,BOX11,ITEM305
1634880991000,2021-10-22 14:36:31+09:00,DEN030012,BOX12,ITEM301
1634881078000,2021-10-22 14:37:58+09:00,DEN030013,BOX13,ITEM206
1634881193000,2021-10-22 14:39:53+09:00,DEN030014,BOX14,ITEM402
1634881291000,2021-10-22 14:41:31+09:00,DEN030015,BOX15,ITEM109
1634881383000,2021-10-22 14:43:03+09:00,DEN030016,BOX16,ITEM207
1634881503000,2021-10-22 14:45:03+09:00,DEN030017,BOX17,ITEM601
1634881617000,2021-10-22 14:46:57+09:00,DEN030018,BOX18,ITEM307
1634881727000,2021-10-22 14:48:47+09:00,DEN030019,BOX19,ITEM404
1634881847000,2021-10-22 14:50:47+09:00,DEN030020,BOX20,ITEM403
