unixtime,datetime,order_sheet,box,item
1634882978000,2021-10-22 15:09:38+09:00,DEN040001,BOX01,ITEM209
1634882980000,2021-10-22 15:09:40+09:00,DEN040001,BOX01,ITEM301
1634883088000,2021-10-22 15:11:28+09:00,DEN040002,BOX02,ITEM312
1634883192000,2021-10-22 15:13:12+09:00,DEN040003,BOX03,ITEM402
1634883302000,2021-10-22 15:15:02+09:00,DEN040004,BOX04,ITEM401
1634883418000,2021-10-22 15:16:58+09:00,DEN040005,BOX05,ITEM601
1634883522000,2021-10-22 15:18:42+09:00,DEN040006,BOX06,ITEM204
1634883523000,2021-10-22 15:18:43+09:00,DEN040006,BOX06,ITEM225
1634883623000,2021-10-22 15:20:23+09:00,DEN040007,BOX07,ITEM203
1634883624000,2021-10-22 15:20:24+09:00,DEN040007,BOX07,ITEM206
1634883709000,2021-10-22 15:21:49+09:00,DEN040008,BOX08,ITEM219
1634883796000,2021-10-22 15:23:16+09:00,DEN040009,BOX09,ITEM214
1634883882000,2021-10-22 15:24:42+09:00,DEN040010,BOX10,ITEM205
1634883985000,2021-10-22 15:26:25+09:00,DEN040011,BOX11,ITEM404
1634884073000,2021-10-22 15:27:53+09:00,DEN040012,BOX12,ITEM107
1634884195000,2021-10-22 15:29:55+09:00,DEN040013,BOX13,BOX13
1634884199000,2021-10-22 15:29:59+09:00,DEN040013,BOX13,ITEM102
1634884200000,2021-10-22 15:30:00+09:00,DEN040013,BOX13,ITEM226
1634884316000,2021-10-22 15:31:56+09:00,DEN040014,BOX14,ITEM221
1634884317000,2021-10-22 15:31:57+09:00,DEN040014,BOX14,ITEM201
1634884319000,2021-10-22 15:31:59+09:00,DEN040014,BOX14,ITEM202
1634884414000,2021-10-22 15:33:34+09:00,DEN040015,BOX15,ITEM211
1634884507000,2021-10-22 15:35:07+09:00,DEN040016,BOX16,ITEM308
1634884593000,2021-10-22 15:36:33+09:00,DEN040017,BOX17,ITEM217
1634884682000,2021-10-22 15:38:02+09:00,DEN040018,BOX18,ITEM210
1634884776000,2021-10-22 15:39:36+09:00,DEN040019,BOX19,ITEM311
1634884860000,2021-10-22 15:41:00+09:00,DEN040020,BOX20,ITEM216
