,sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
0,DEN010001,S0100,1,xM1,1,312,,,,,1,,,,
1,DEN010002,S0100,2,xS1,1,101,,,,,1,,,,
2,DEN010003,S0100,3,xS4-5,4,202,212,215,217,,1,1,1,1,
3,DEN010004,S0100,4,xS2-3,2,208,304,,,,1,1,,,
4,DEN010005,S0100,5,xS4-5,4,104,206,211,226,,1,1,1,1,
5,DEN010006,S0100,6,xS2-3,2,107,207,,,,1,1,,,
6,DEN010007,S0100,7,xS1,1,219,,,,,1,,,,
7,DEN010008,S0100,8,xL1,1,404,,,,,1,,,,
8,DEN010009,S0100,9,xM2-5,4,303,305,310,311,,1,1,1,1,
9,DEN010010,S0100,10,xS2-3,2,216,307,,,,1,1,,,
10,DEN010011,S0100,11,xM1,1,301,,,,,1,,,,
11,DEN010012,S0100,12,xS2-3,3,201,224,306,,,1,1,1,,
12,DEN010013,S0100,13,xM1,1,302,,,,,1,,,,
13,DEN010014,S0100,14,xM2-5,3,309,401,403,,,1,1,1,,
14,DEN010015,S0100,15,xL1,1,601,,,,,1,,,,
15,DEN010016,S0100,16,xS2-3,3,210,213,214,,,1,1,1,,
16,DEN010017,S0100,17,xS2-3,2,220,308,,,,1,1,,,
17,DEN010018,S0100,18,xS1,1,103,,,,,1,,,,
18,DEN010019,S0100,19,xL1,1,402,,,,,1,,,,
19,DEN010020,S0100,20,xS1,1,222,,,,,1,,,,
