,sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
0,DEN030001,S0300,1,xS2-3,2,211,215,,,,1,1,,,
1,DEN030002,S0300,2,xS1,1,224,,,,,1,,,,
2,DEN030003,S0300,3,xS1,1,105,,,,,1,,,,
3,DEN030004,S0300,4,xS1,1,214,,,,,1,,,,
4,DEN030005,S0300,5,xM1,1,303,,,,,1,,,,
5,DEN030006,S0300,6,xS1,1,225,,,,,1,,,,
6,DEN030007,S0300,7,xS2-3,2,103,306,,,,1,1,,,
7,DEN030008,S0300,8,xL1,1,401,,,,,1,,,,
8,DEN030009,S0300,9,xS1,1,108,,,,,1,,,,
9,DEN030010,S0300,10,xS2-3,3,104,223,226,,,1,1,1,,
10,DEN030011,S0300,11,xS2-3,2,106,305,,,,1,1,,,
11,DEN030012,S0300,12,xM1,1,301,,,,,1,,,,
12,DEN030013,S0300,13,xS1,1,206,,,,,1,,,,
13,DEN030014,S0300,14,xL1,1,402,,,,,1,,,,
14,DEN030015,S0300,15,xS1,1,109,,,,,1,,,,
15,DEN030016,S0300,16,xS1,1,207,,,,,1,,,,
16,DEN030017,S0300,17,xL1,1,601,,,,,1,,,,
17,DEN030018,S0300,18,xM1,1,307,,,,,1,,,,
18,DEN030019,S0300,19,xL1,1,404,,,,,1,,,,
19,DEN030020,S0300,20,xL1,1,403,,,,,1,,,,
