,sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
0,DEN020001,S0200,1,xL1,1,403,,,,,1,,,,
1,DEN020002,S0200,2,xS2-3,2,102,105,,,,1,1,,,
2,DEN020003,S0200,3,xS2-3,3,107,207,223,,,1,1,1,,
3,DEN020004,S0200,4,xS2-3,2,221,305,,,,1,1,,,
4,DEN020005,S0200,5,xS1,1,209,,,,,1,,,,
5,DEN020006,S0200,6,xS1,1,220,,,,,1,,,,
6,DEN020007,S0200,7,xS2-3,2,213,302,,,,1,1,,,
7,DEN020008,S0200,8,xS1,1,202,,,,,1,,,,
8,DEN020009,S0200,9,xM1,1,310,,,,,1,,,,
9,DEN020010,S0200,10,xM1,1,301,,,,,1,,,,
10,DEN020011,S0200,11,xM1,1,311,,,,,1,,,,
11,DEN020012,S0200,12,xM2-5,2,306,312,,,,1,1,,,
12,DEN020013,S0200,13,xS4-5,4,208,212,218,224,,1,1,1,1,
13,DEN020014,S0200,14,xS2-3,3,206,222,303,,,1,1,1,,
14,DEN020015,S0200,15,xS2-3,2,109,211,,,,1,1,,,
15,DEN020016,S0200,16,xM1,1,304,,,,,1,,,,
16,DEN020017,S0200,17,xM1,1,308,,,,,1,,,,
17,DEN020018,S0200,18,xS1,1,103,,,,,1,,,,
18,DEN020019,S0200,19,xS2-3,3,214,217,309,,,1,1,1,,
19,DEN020020,S0200,20,xS1,1,203,,,,,1,,,,
